IAM,Year,Country,Project,ID,IAM ID,Filer(s),Environmental Category,Project Company,Project Number,Related Project Number,Project Type,Financial Institution,Project Loan Amount,Sector,Issues,Complaint Status,Filing Date,Registration Start Date,Registration End Date,Eligibility Start Date,Eligibility End Date,Dispute Resolution Start Date,Dispute Resolution End Date,Compliance Review Start Date,Compliance Review End Date,Monitoring Start Date,Monitoring End Date,Compliance Report Issued?,Date Closed,Documents,Hyperlink,Project Date,Project Status,Project Description
IRM,2017,Senegal,Blaise Diagne International Airport Project,RQ2017/1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRM,2016,Guinea,Multinational – Road Development and Transport Facilitation Programme Within the Manu River Union (Guinea Section),RQ2016/3,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRM,2016,Senegal,Construction of a 125 MW coal Sendou power plant in the village of Bargny Minam,RQ2016/2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRM,2016,Mali,"Diversification of the Activities of ""Moulins Modernes du Mali (M3)"" Project in Mali",RQ2016/1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRM,2015,Kenya,"Outer Ring Road Improvement Project, Nairobi",RQ2015/3-Bis,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRM,2015,Kenya,The Nairobi River Rehabilitation and Restoration Program : Sewerage Improvement Project,RQ2015/3,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRM,2014,Uganda,Improvement of Health Services Delivery at Mulago Hospital and in the City of Kampala,RQ 2014/1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRM,2012,Tanzania,Tanzania Road Support Project II,RQ 2012/1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRM,2011,Senegal,Dakar-Diamniadio Highway Project,RQ 2011/1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRM,2010,South Africa,Medupi Power Project,RQ 2010/2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRM,2010,Morocco,Construction of the Marrakech – Agadir Motorway,RQ 2010/1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRM,2009,Egypt,Nuweiba Combined Cycle Power Project,RQ 2009/2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRM,2009,Ethiopia ,Gibe III Hydropower Project,RQ 2009/1b,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRM,2009,Ethiopia,Gibe III Hydroelectric Power Project,RQ 2009/1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRM,2007,Uganda,Bujagali Hydropower Project and Bujagali Interconnection Project,RQ 2007/1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
